节点数,聚集系数,边数
1,0.0,0
2,0.0,1
3,0.0,2
4,0.0,3
5,0.0,4
6,0.0,5
7,0.0,6
8,0.0,7
9,0.0,8
10,0.0,9
11,0.0,10
12,0.0,11
13,0.424175824176,19
14,0.39387755102,20
15,0.364444444444,22
16,0.341666666667,23
17,0.292156862745,26
18,0.238888888889,27
19,0.30350877193,33
20,0.308333333333,37
21,0.290476190476,38
22,0.273484848485,39
23,0.32665788318,48
24,0.315924122174,52
25,0.323287157287,55
26,0.314832389832,61
27,0.390471462694,72
28,0.385397935398,76
29,0.367510650269,77
30,0.348593628594,78
32,0.333814449439,84
34,0.307226433697,87
36,0.322215747216,98
38,0.321189775137,106
40,0.331238067488,113
42,0.341789520781,121
44,0.345540010346,135
46,0.345623388816,142
48,0.329239528746,145
50,0.321922252154,151
52,0.317729441181,160
54,0.308352177213,165
56,0.294740824085,173
58,0.2941715685,189
60,0.291203999055,193
62,0.282315947779,203
64,0.269511329803,207
66,0.268871882278,212
68,0.271083861166,229
80,0.289804173247,286
90,0.306412602801,335
100,0.276324900583,362
200,0.223358396959,674
400,0.203347896377,1381
800,0.200146689928,2905
1000,0.20381954376,3657
2000,0.199881308442,7475
3000,0.195798513864,11089
7000,0.187487174558,25906
11000,0.187764809901,40747
15000,0.188647765893,55801
19000,0.189078968382,70783
